Park Name,Address,Space Count,Phone Number
'Crestwood Mobile Home Park',"2248 Southview Drive Se 101, Medicine Hat, AB, T1B 1R3, CA",,403-526-7737
'Medicine Hat Village',"4000 13 Avenue Se, Medicine Hat, AB, T1B 1J3, CA",213,813-291-7413
'Midland Mobile Home Park',"Millet, AB, T0C 1Z0, CA",,780-387-4115
'Okotoks Village',"107 Heritage Dr., Okotoks, AB, T0L 1T3, CA",104,813-291-7413
'Olds Mobile Home Park',"5103 Av 61, Olds, AB, T4H 1L6, CA",,403-556-3443
'Red Deer Village',"5344 76 Street, Red Deer, AB, T2P 2A6, CA",346,813-291-7413
'Lakeland Village Manufactured Home Park',"Sherwood Park, AB, T8A 0A1, CA",,780-464-4649
'Westside Village Mobile Home Park',"812 6 Avenue Sw, Slave Lake, AB, T0G 2A4, CA",,780-849-5760
'Wild Rose Garden Estates',"4202 45th Street, Wetaskiwin, AB, T9A 2C1, CA",,780-352-7119
'Eagle Rock Mobile Home & R V Park',"888 Highway 97a, Armstrong, BC, V0E 1B0, CA",,250-546-8211
'Fraser Canyon Mobile Home & Rv Park',"50610 Trans Canada Hwy, Boston Bar, BC, V0K 1C0, CA",,604-867-9011
'Blue Spruce Mobile Home Park',"160 E Highway 16, Burns Lake, BC, V0J 1E0, CA",,250-692-3878
'Quinsam Heights Mobile Home Park',"Campbell River, BC, V9H 1A1, CA",,250-287-2601
